com.apple.Safari,_NSUseMirrorViewForFullSizeContentViewDefaultValueFunction,-[NSWindow _canAddUnderTitlebarViews]
com.apple.Safari,_NSThemeFrameRespectTitlebarVCVisibleAmountDefaultValueFunction,___50-[NSThemeFrame _distanceFromToolbarBaseToTitlebar]_block_invoke
com.apple.SetupAssistant,-[NSApplication onFirstEvent],
com.apple.SoundtrackLoopUtility,_____CFHandleFinishedEnumerating_block_invoke,
com.apple.UniversalAccessControl,_NSCGSIsSynchronousM7DefaultValueFunction,____disable_updates_block_invoke
com.apple.VNCDragHelper,_NSCGSIsSynchronousM7DefaultValueFunction,____disable_updates_block_invoke
com.apple.Xcode,__NSEnablePersistentUI,__NSPersistentUIEstablishTalagentCommunication
com.apple.Xcode,___59-[NSApplication(NSMenuUpdating) _customizeFileMenuIfNeeded]_block_invoke.3735,-[NSApplication _customizeFileMenuIfNeeded]
com.apple.appstore,_NSWindowShouldAlwaysFloatTitlebarDefaultValueFunction,-[NSThemeFrame _shouldAlwaysFloatTitlebar]
com.apple.compressor.Compressor,_NSImageRoundDestRectInCompositeMethodsDefaultValueFunction,-[NSImage _composite:delta:fromRect:toPoint:]
com.apple.dashboard.client,_NSScrollViewShouldFlipScrollerForRTLDefaultValueFunction,_NSScrollViewShouldFlipScrollerForRTL
com.apple.dashboard.client,_NSCGSIsSynchronousM7DefaultValueFunction,____disable_updates_block_invoke
com.apple.dock.ecap,_NSCGSIsSynchronousM7DefaultValueFunction,____disable_updates_block_invoke
com.apple.dt.Xcode,_NSFullScreenToolbarDeferredDefaultValueFunction,-[_NSFullScreenDetachedToolbarMenuBarCompanionController _makeWindowIfNecessary]
com.apple.dt.Xcode,_NSDisableAutomaticWindowTabbingDefaultValueFunction,+[NSWindow allowsAutomaticWindowTabbing]
com.apple.dt.Xcode,_NSViewFramesApplyAncestorScalingDefaultValueFunction,-[NSView nsis_frameInEngine:forLayoutGuide:withRounding:]
com.apple.dvdstudiopro,_NSImageSnapshotInWindowsDefaultValueFunction,-[NSImage setSize:]
com.apple.finder,-[NSApplication _reopenWindowsIfNecessaryWithAppleEvent:completionHandler:],
com.apple.finder,_NSFakeHideDefaultValueFunction,-[NSApplication validateUserInterfaceItem:]
com.apple.finder,_NSTableViewOnlyDragOnContentDefaultValueFunction,-[NSTableView _onlyDragOnContent]
com.apple.finder,_NSWindowRestoresWorkspaceAtLaunchDefaultValueFunction,-[NSWindow restoreStateWithCoder:]
com.apple.finder,_NSDisableAutomaticWindowTabbingDefaultValueFunction,+[NSWindow allowsAutomaticWindowTabbing]
com.apple.finder,_NSWindowsDoDeferredOrderingInCarbonDefaultValueFunction,_NSWindowsDoDeferredOrderingInCarbon
com.apple.finder,__NSNavReadStandardViewOption,-[NSNavBrowserDelegate _shouldShowPreviewForNode:]
com.apple.garageband,-[NSView _updateLayerMasksToBoundsFromView],
com.apple.garageband,-[NSWindow makeKeyAndOrderFront:],-[NSDocumentController _indexOfOpeningDocument:]
com.apple.garageband,_NSUseActiveDisplayForMainScreenDefaultValueFunction,+[NSScreen mainScreen]
com.apple.garageband,-[NSTableView _callDrawHighlight],
com.apple.garageband,-[NSScroller scrollerImp:animateUIStateTransitionWithDuration:],
com.apple.garageband10,_NSFullScreenMenuItemEverywhereDefaultValueFunction,-[NSApplication _addFullScreenMenuItemIfNeeded]
com.apple.garageband10,_NSWindowTilingShouldTrimToFitTilesDefaultValueFunction,-[NSWindow _frameForFullScreenModeInRect:]
com.apple.garageband10,_NSWindowDisallowsFullScreenTilingDefaultValueFunction,-[NSWindow _implicitlyDisallowTiling]
com.apple.iBooksAuthor,_NSLeakWindowGraphicsContextOnCreationDefaultValueFunction,__NSCreateWindowWithOpaqueShape2
com.apple.iBooksAuthor,-[NSDocumentRevisionsController _installEventTap],
com.apple.iBooksX,_NSViewManageLayerTreeLooselyDefaultValueFunction,-[NSView _setSuperview:]
com.apple.iCal,_NSScrollViewShouldFlipScrollerForRTLDefaultValueFunction,_NSScrollViewShouldFlipScrollerForRTL
com.apple.iChat,-[NSTextView completionsForPartialWordRange:indexOfSelectedItem:],
com.apple.iDVD,-[NSCell _commonInit],
com.apple.iDVD,-[NSApplication _doModalLoop:peek:],
com.apple.iDVD,_NSApp_actionGetsBlockedByModalWindow,__NSTargetForSendAction
com.apple.iMovie,-[NSApplication _deallocHardCore:],
com.apple.iMovie,-[NSApplication _deallocHardCore:],
com.apple.iMovie,-[NSThemeFrame contentFill],
com.apple.iMovie8,-[NSThemeFrame contentFill],
com.apple.iMovie8,_NSTableViewUsesPreparedCellsOnKeyStateChangeDefaultValueFunction,-[NSTableView _dirtyVisibleCellsForKeyStateChange]
com.apple.iMovie8,-[_NSPopUpButtonPlugin _shouldCreateSelectionItemInControl:],
com.apple.iMovieApp,___81-[NSButtonCell(NSDefaultButtonIndicatorPrivate) _appRequiresOldHeartbeatBehavior]_block_invoke,
com.apple.iMovieApp,-[NSThemeFrame contentFill],
com.apple.iMovieApp,_NSViewManageLayerTreeLooselyDefaultValueFunction,-[NSView _setSuperview:]
com.apple.iMovieApp,_NSView_Workaround32688505DefaultValueFunction,-[NSView setAutoresizingMask:]
com.apple.iPhoto,_NSScreenIsMutableDefaultValueFunction,-[NSScreen _snapshot]
com.apple.iPhoto,-[NSView _updateLayerMasksToBoundsFromView],
com.apple.iPhoto,-[NSTextView insertText:replacementRange:],
com.apple.iPhoto,__NSCreateWindow,-[NSWindow _commonAwake]
com.apple.iPhoto,_NSWindowMakeSheetKeyImmediatelyDefaultValueFunction,-[NSMoveHelper _moveParent:andOpenSheet:]
com.apple.iPhoto,-[NSTileLayer drawInContext:],
com.apple.iPhoto,-[NSTableView _canCopyOnScroll],
com.apple.iPhoto,_NSAlertAddUnnecessaryWhitespaceForBlankInfoFieldsDefaultValueFunction,-[NSAlert buildAlertStyle:title:formattedMessage:first:second:third:oldStyle:]
com.apple.iPhoto,_NSApplicationEnforceAutoShowInFullScreenPresentationOptionsDefaultValueFunction,-[NSApplication _setPresentationOptions:instance:flags:]
com.apple.iPhoto,_NSRequiresOpenUntitledWindowAtLaunchDefaultValueFunction,-[NSApplication _requiresOpeningUntitledWindowAtLaunch]
com.apple.iPhoto,_NSLessCoalescedViewDrawingDefaultValueFunction,__NSLessCoalescedViewDrawing
